cod;value
0208040099;DETERMINACAO DE FLUXO PLASMATICO RENAL
0208040102;ESTUDO RENAL DINAMICO C/ OU S/ DIURETICO
0208050019;CINTILOGRAFIA DE ARTICULACOES E/OU EXTREMIDADES E/OU OSSO
0208050027;CINTILOGRAFIA DE ESQUELETO (CORPO INTEIRO)
0208050035;CINTILOGRAFIA DE OSSOS C/ OU S/ FLUXO SANGUINEO (CORPO INTEIRO)
0208050043;CINTILOGRAFIA DE SEGMENTO OSSEO C/ GALIO 67
0208060014;CINTILOGRAFIA DE PERFUSAO CEREBRAL C/ TALIO (SPCTO)
0208060022;CISTERNOCINTILOGRAFIA (INCLUINDO PESQUISA E/OU AVALIACAO DO TRANSITO LIQUORICO)
0208060030;ESTUDO DE FLUXO SANGUINEO CEREBRAL
0208070010;CINTILOGRAFIA DE PULMAO C/ GALIO 67
0208070028;CINTILOGRAFIA DE PULMAO P/ PESQUISA DE ASPIRACAO
0208070036;CINTILOGRAFIA DE PULMAO POR INALACAO (MINIMO 2 PROJECOES)
0208070044;CINTILOGRAFIA DE PULMAO POR PERFUSAO (MINIMO 4 PROJECOES)
0208080015;CINTILOGRAFIA DE SISTEMA RETICULO-ENDOTELIAL (MEDULA OSSEA)
0208080023;DEMONSTRACAO DE SEQUESTRO DE HEMACIAS PELO BACO (C/ RADIOISOTOPOS)
0208080031;DETERMINACAO DE SOBREVIDA DE HEMACIAS (C/ RADIOSOTOPOS)
0208080040;LINFOCINTILOGRAFIA
0208090010;CINTILOGRAFIA DE CORPO INTEIRO C/ GALIO 67 P/ PESQUISA DE NEOPLASIAS
0208090029;CINTILOGRAFIA DE GLANDULA LACRIMAL (DACRIOCINTILOGRAFIA)
0208090037;CINTILOGRAFIA DE MAMA (BILATERAL)
0209010010;COLANGIOPANCREATOGRAFIA RETROGRADA (VIA ENDOSCOPICA)
0209010029;COLONOSCOPIA (COLOSCOPIA)
0209010037;ESOFAGOGASTRODUODENOSCOPIA
0209010045;LAPAROSCOPIA
0209010053;RETOSSIGMOIDOSCOPIA
0209010061;VIDEOLAPAROSCOPIA
0209020016;CISTOSCOPIA E/OU URETEROSCOPIA E/OU URETROSCOPIA
0209030011;HISTEROSCOPIA CIRÚRGICA
0209040017;BRONCOSCOPIA (BRONCOFIBROSCOPIA)
0209040025;LARINGOSCOPIA
0209040033;TRAQUEOSCOPIA
0209040041;VIDEOLARINGOSCOPIA
0209040050;VIDEOTORACOSCOPIA
0210010010;ANGIOGRAFIA CEREBRAL (4 VASOS)
0210010029;ANGIOGRAFIA DE ARCO AORTICO
0210010037;ANGIOGRAFIA DE ARCO AORTICO E TRONCOS SUPRA-AORTICOS
0210010045;AORTOGRAFIA ABDOMINAL
0210010053;AORTOGRAFIA TORACICA
0210010061;ARTERIOGRAFIA CERVICO-TORACICA
0210010070;ARTERIOGRAFIA DE MEMBRO
0210010088;ARTERIOGRAFIA DIGITAL (POR VIA VENOSA)
0210010096;ARTERIOGRAFIA P/ INVESTIGACAO DE DOENCA ARTERIOSCLEROTICA AORTO-ILIACA E DISTAL
0210010100;ARTERIOGRAFIA P/ INVESTIGACAO DE HEMORRAGIA CEREBRAL
0210010118;ARTERIOGRAFIA P/ INVESTIGACAO DE ISQUEMIA CEREBRAL
0210010126;ARTERIOGRAFIA PELVICA
0210010134;ARTERIOGRAFIA SELETIVA DE CAROTIDA
0210010142;ARTERIOGRAFIA SELETIVA POR CATETER (POR VASO)
0210010150;ARTERIOGRAFIA SELETIVA VERTEBRAL
0210010169;ESPLENOPORTOGRAFIA
0210010177;FLEBOGRAFIA DE MEMBRO
0210010185;FLEBOGRAFIA DE CAVA INFERIOR E/OU SUPERIOR
0210010193;LINFANGIOADENOGRAFIA
0210010207;PORTOGRAFIA TRANS-HEPATICA
0210020016;COLANGIOGRAFIA TRANSCUTANEA
0211010014;CAPILAROSCOPIA
0211010022;INVESTIGACAO ULTRASSONICA (PLETISMOGRAFIA)
0211010030;OSCILOMETRIA DE IMPULSO
0211010049;PLETISMOGRAFIA (POR LATERALIDADE / TERRITORIO)
0211020010;CATETERISMO CARDIACO
0211020028;CATETERISMO CARDIACO EM PEDIATRIA
0211020036;ELETROCARDIOGRAMA
0211020044;MONITORAMENTO PELO SISTEMA HOLTER 24 HS (3 CANAIS)
0211020052;MONITORIZACAO AMBULATORIAL DE PRESSAO ARTERIAL (M.A.P.A)
0211020060;TESTE DE ESFORCO / TESTE ERGOMETRICO
0211020079;OXIMETRIA DE PULSO (TESTE DO CORAÇÃOZINHO)
0211030015;AVALIACAO CINEMATICA E DE PARAMETROS LINEARES
0211030023;AVALIACAO CINÉTICA, CINEMÁTICA E DE PARÂMETROS LINEARES
0211030031;AVALIAÇÃO DE EQUILÍBRIO ESTÁTICO EM PLACA DE FORÇA
0211030040;AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA
0211030058;AVALIAÇÃO DE FUNÇÃO E MECÂNICA RESPIRATÓRIA COM TRANSDUTORES MICROPROCESSADOS
0211030066;AVALIAÇÃO DE MOVIMENTO (POR IMAGEM)
0211030074;AVALIAÇÃO FUNCIONAL MUSCULAR
0211030082;ELETRODIAGNÓSTICO CINÉTICO FUNCIONAL
0211030090;ELETROMIOGRAFIA DINÂMICA, AVALIAÇÃO CINÉTICA, CINEMÁTICA E DE PARÂMETROS LINEARES
0211040010;AMNIOSCOPIA
0211040029;COLPOSCOPIA
0211040037;EXAME MICROBIOLOGICO A FRESCO DO CONTEUDO CERVIC0-VAGINAL
0211040045;HISTEROSCOPIA (DIAGNOSTICA)
0211040053;PERSUFLACAO TUBARIA (DIAGNOSTICA)
0211040061;TOCOCARDIOGRAFIA ANTE-PARTO
0211050016;DETERMINACAO DE DURACAO DA CURVA DE INTENSIDADE
0211050024;ELETROENCEFALOGRAFIA EM VIGILIA C/ OU S/ FOTO-ESTIMULO
0211050032;ELETROENCEFALOGRAMA EM SONO INDUZIDO C/ OU S/ MEDICAMENTO (EEG)
0211050040;ELETROENCEFALOGRAMA EM VIGILIA E SONO ESPONTANEO C/ OU S/ FOTOESTIMULO (EEG)
0211050059;ELETROENCEFALOGRAMA QUANTITATIVO C/ MAPEAMENTO (EEG)
0211050067;ELETROMIOGRAMA (EMG)
0211050075;ELETROMIOGRAMA C/ ESTUDO DE FIBRA UNICA
0211050083;ELETRONEUROMIOGRAMA (ENMG)
0211050091;EXPLORACAO DIAGNOSTICA PELO VIDEO-ELETROENCEFALOGRAMA COM OU SEM USO DE ELETRODO DE PROFUNDIDADE
0211050105;POLISSONOGRAFIA
0211050113;POTENCIAL EVOCADO AUDITIVO
0211050121;POTENCIAL EVOCADO VISUAL / OCCIPTO
0211050130;POTENCIAL SOSMATO-SENSITIVO
0211050148;TESTE DE WADA
0211050156;VIDEO-ELETROENCEFALOGRAMA C/ REGISTRO PROLONGADO
0211060011;BIOMETRIA ULTRASSâNICA (MONOCULAR)
0211060020;BIOMICROSCOPIA DE FUNDO DE OLHO
0211060038;CAMPIMETRIA COMPUTADORIZADA OU MANUAL COM GRÁFICO
0211060046;CAMPIMETRIA MANUAL COM GRAFICO
0211060054;CERATOMETRIA
0211060062;CURVA DIARIA DE PRESSAO OCULAR CDPO (MINIMO 3 MEDIDAS)
0211060070;ELETRO-OCULOGRAFIA
0211060089;ELETRORETINOGRAFIA
0211060097;ESTESIOMETRIA
0211060100;FUNDOSCOPIA
0211060119;GONIOSCOPIA
0211060127;MAPEAMENTO DE RETINA
0211060135;MEDIDA DE OFUSCAMENTO E CONTRASTE
0211060143;MICROSCOPIA ESPECULAR DE CORNEA
0211060151;POTENCIAL DE ACUIDADE VISUAL
0211060160;POTENCIAL VISUAL EVOCADO
0211060178;RETINOGRAFIA COLORIDA BINOCULAR
0211060186;RETINOGRAFIA FLUORESCENTE BINOCULAR
0211060194;TESTE DE ADAPTACAO DE VISAO SUBNORMAL
0211060208;TESTE DE PROVOCACAO DE GLAUCOMA
0211060216;TESTE DE SCHIRMER
0211060224;TESTE DE VISÇO DE CORES
0211060232;TESTE ORTÓPTICO
0211060240;TESTE P/ ADAPTACAO DE LENTE DE CONTATO
0211060259;TONOMETRIA
0211060267;TOPOGRAFIA COMPUTADORIZADA DE CÓRNEA
0211060275;TRIAGEM OFTALMOLÓGICA
0211060283;TOMOGRAFIA DE COERÊNCIA ÓPTICA
0211070017;ANALISE ACUSTICA DA VOZ POR MEIO DE LABORATORIO DE VOZ
0211070025;AUDIOMETRIA DE REFORCO VISUAL (VIA AEREA / OSSEA)
0211070033;AUDIOMETRIA EM CAMPO LIVRE
0211070041;AUDIOMETRIA TONAL LIMIAR (VIA AEREA / OSSEA)
0211070050;AVALIACAO AUDITIVA COMPORTAMENTAL
0211070068;AVALIACAO DE LINGUAGEM ESCRITA / LEITURA
0211070076;AVALIACAO DE LINGUAGEM ORAL
0211070084;AVALIACAO MIOFUNCIONAL DE SISTEMA ESTOMATOGNATICO
0211070092;AVALIACAO P/ DIAGNOSTICO DE DEFICIENCIA AUDITIVA
0211070106;AVALIACAO P/ DIAGNOSTICO DIFERENCIAL DE DEFICIENCIA AUDITIVA
0211070114;AVALIACAO VOCAL
0211070122;ELETROCOCLEOGRAFIA
0211070130;ELETROGUSTOMETRIA
0211070149;EMISSOES OTOACUSTICAS EVOCADAS P/ TRIAGEM AUDITIVA (TESTE DA ORELHINHA)
0211070157;ESTUDO DE EMISSOES OTOACUSTICAS EVOCADAS TRANSITORIAS E PRODUTOS DE DISTORCAO (EOA)
0211070165;ESTUDO TOPODIAGNOSTICO DA PARALISIA FACIAL
0211070173;EXAME DE ORGANIZACAO PERCEPTIVA
0211070181;EXAME NEUROPSICOMOTOR EVOLUTIVO
0211070190;GUSTOMETRIA
0211070203;IMITANCIOMETRIA
0211070211;LOGOAUDIOMETRIA (LDV-IRF-LRF)
0211070220;OLFATOMETRIA
0211070238;PESQUISA DE FISTULA PERILINFATICA
0211070246;PESQUISA DE GANHO DE INSERCAO
0211070254;PESQUISA DE PARES CRANIANOS
0211070262;POTENCIAL EVOCADO AUDITIVO DE CURTA MEDIA E LONGA LATENCIA
0211070270;POTENCIAL EVOCADO AUDITIVO P/ TRIAGEM AUDITIVA (TESTE DA ORELHINHA)
0211070289;PROVA DE FUNCAO TUBARIA
0211070297;REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MAIOR DE 3 ANOS
0211070300;REAVALIACAO DIAGNOSTICA DE DEFICIENCIA AUDITIVA EM PACIENTE MENOR DE 3 ANOS
0211070319;SELECAO E VERIFICACAO DE BENEFICIO DO AASI
0211070327;TESTES ACUMETRICOS (DIAPASAO)
0211070335;TESTES AUDITIVOS SUPRALIMINARES
0211070343;TESTES DE PROCESSAMENTO AUDITIVO
0211070351;TESTES VESTIBULARES / OTONEUROLOGICOS
0211070360;TRIAGEM AUDITIVA DE ESCOLARES
0211070378;AVALIAÇÃO E SELEÇÃO PRÉ-CIRÚRGICA PARA IMPLANTE COCLEAR
0211070386;MAPEAMENTO E BALANCEAMENTO DOS ELETRODOS
0211070394;POTENCIAL EVOCADO ELETRICAMENTE NO SISTEMA AUDITIVO
0211070408;REFLEXO ESTAPEDIANO ELICIADO ELETRICAMENTE
0211070416;AVALIAÇÃO E SELEÇÃO PRÉ-CIRÚRGICA PARA PRÓTESE AUDITIVA ANCORADA NO OSSO
0211080012;ESPIROGRAFIA C/ DETERMINACAO DO VOLUME RESIDUAL
0211080020;GASOMETRIA
0211080039;GASOMETRIA (APOS EXERCICIO CICLO-ERGOMETRICO)
0211080047;GASOMETRIA (APOS OXIGENIO A 100 DURANTE A DIFUSAO ALVEOLO-CAPILAR)
0211080055;ESPIROMETRIA OU PROVA DE FUNCAO PULMONAR COMPLETA COM BRONCODILATADOR
0211080063;PROVA DE FUNCAO PULMONAR SIMPLES
0211080071;PROVA FARMACODINAMICA
0211080080;TESTE DA CAMINHADA DE 6 MINUTOS
0211090018;AVALIACAO URODINAMICA COMPLETA
0211090026;CATETERISMO DE URETRA
0211090034;CISTOMETRIA C/ CISTOMETRO
0211090042;CISTOMETRIA SIMPLES
0211090050;DETERMINACAO DE PRESSAO INTRA-ABDOMINAL
0211090069;PERFIL DE PRESSAO URETRAL
0211090077;UROFLUXOMETRIA
0211100013;APLICACAO DE TESTE P/ PSICODIAGNOSTICO
0211120014;VIDEOSCOPIA P/ DIAGNOSTICO / DRENAGEM / TOALETE / BIOPSIA
0211120022;VIDEOSCOPIA P/ SINTESE / RECONSTRUCAO / TRANSPLANTE DE ESTRUTURAS
0212010018;EXAMES IMUNOHEMATOLOGICOS EM DOADOR DE SANGUE
0212010026;EXAMES PRE-TRANSFUSIONAIS I
0212010034;EXAMES PRE-TRANSFUSIONAIS II
0212010042;FENOTIPAGEM K, FYA, FYB, JKA, JKB EM GEL
0212010050;SOROLOGIA DE DOADOR DE SANGUE
0212010069;TESTE DO ÁCIDO NUCLEICO (NAT) EM AMOSTRAS DE SANGUE DO DOADOR DE SANGUE.
0212020013;DELEUCOCITACAO DE CONCENTRADO DE HEMACIAS
0212020021;DELEUCOCITACAO DE CONCENTRADO DE PLAQUETAS
0212020030;IRRADIACAO DE SANGUE E COMPONENTES DESTINADOS A TRANSFUSAO
0212020048;PREPARO DE COMPONENTES ALIQUOTADOS
0212020056;PREPARO DE COMPONENTES LAVADOS
0212020064;PROCESSAMENTO DE SANGUE
0213010011;DETERMINACAO DE CARGA VIRAL DO HIV POR RT-PCR
0213010020;ENSAIO IMUNOENZIMATICO -TESTE DE ELISA P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010038;ENSAIO IMUNOENZIMATICO-ELISA P/ IDENTIFICACAO DO VIRUS DA FEBRE DO NILO OCIDENTAL
0213010046;ENSAIO IMUNOENZIMATICO-TESTE DE ELISA P/ IDENTIFICACAO DA PASTEURELLA PESTIS (PESTE BUBONICA)
0213010054;EXAME PARASITOLOGICO DIRETO P/ LEISHMANIAS (LEISHMANIOSE TEGUMENTAR AMERICANA)
0213010062;EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGAS1 (LEISHMANIOSE VISCERAL CANINA)
0213010070;EXAME PARASITOLOGICO DIRETO P/ LEISHMANIA CHAGASI (LEISHMANIOSE VISCERAL HUMANA)
0213010089;FAGOTIPAGEM P/ IDENTIFICACAO DA SALMONELA TYPHI (FEBRE TIFOIDE)
0213010097;HISTOPATOLOGIA P/ IDENTIFICACAO DA HEPATITE A
0213010100;HISTOPATOLOGIA P/ IDENTIFICACAO DA HEPATITE D
0213010119;HISTOPATOLOGIA P/ IDENTIFICACAO DE DENGUE
0213010127;HISTOPATOLOGIA P/ IDENTIFICACAO DE FEBRE AMARELA
0213010135;HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE B
0213010143;HISTOPATOLOGIA P/ IDENTIFICACAO DE HEPATITE C
0213010151;HISTOPATOLOGIA P/ IDENTIFICACAO DO ANTRAZ / CARBUNCULO
0213010160;HISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE A
0213010178;HISTOQUIMICA P/ IDENTIFICACAO DE HEPATITE C
0213010186;IDENTIFICACAO DE VIRUS DA RAIVA POR RT-PCR
0213010194;IDENTIFICACAO DO HANTAVIRUS POR RT-PCR (HANTAVIROSE)
0213010208;IDENTIFICACAO DO VIRUS DA HEPATITE B POR PCR (QUANTITATIVO)
0213010216;IMUNOCROMATOGRAFIA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)
0213010224;IMUNOFLUORESCENCIA DIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA
0213010232;IMUNOFLUORESCENCIA DIRETA P/ IDENTIFICACAO DO VIRUS DA RAIVA
0213010240;IMUNOFLUORESCENCIA INDIRETA P/ (IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010259;IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)
0213010267;IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)
0213010275;IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DO SHISTOSSOMA MANSONI
0213010283;IMUNOFLUORESCENCIA INDIRETA P/ IDENTIFICACAO DO VIRUS DA RAIVA
0213010291;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DA RICKETTISIA RICKETTSII (FEBRE MACULOSA)
0213010305;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010313;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DE PLASMODIOS (MALARIA)
0213010321;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO HANTAVIRUS (HANTAVIROSE)
0213010330;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA DENGUE
0213010348;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA
0213010356;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE B
0213010364;IMUNOHISTOQUIMICA P/ IDENTIFICACAO DO VIRUS DA HEPATITE D
0213010372;ISOLAMENTO DA RICKETTSIA RICKTTSII (FEBRE MACULOSA)
0213010380;ISOLAMENTO DO VIRUS DA DENGUE
0213010399;ISOLAMENTO DO VIRUS DA FEBRE DO NILO OCIDENTAL
0213010402;ISOLAMENTO DO VIRUS DA INFLUENZA
0213010410;ISOLAMENTO DO VIRUS DA MENINGITE VIRAL
0213010429;ISOLAMENTO DO VIRUS DA POLIOMIELITE
0213010437;ISOLAMENTO DO VIRUS DA RAIVA
0213010445;ISOLAMENTO DO VIRUS DO SARAMPO
0213010453;MICRO-AGLUTINACAO P/ IDENTIFICACAO DE LEPTOSPIRAS (LEPTOSPIROSE)
0213010461;PESQUISA DE TRIPANOSSOMAS (NO BARBEIRO)
0213010470;PROVA BIOLOGICA P/ IDENTIFICACAO DO VIRUS DA RAIVA
0213010488;PROVA CONTRA-IMUNOELETROFORESE P/ MENINGOCOCOS (MENINGITE BACTERIANA)
0213010496;PROVA DE TOXIGENICIDADE P/ BACILO DIFTERICO (IN VITRO)
0213010500;QUANTIFICACAO DA CARGA VIRAL DO HIV (RNA)
0213010518;SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DA MENINGITE VIRAL
0213010526;SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DA POLIOMIELITE
0213010534;SEQUENCIAMENTO P/ IDENTIFICACAO DO VIRUS DO SARAMPO
0213010542;GENOTIPAGEM DO HCV
0213010550;SOROLOGIA P/ IDENTIFICACAO DO VIBRIO CHOLERAE
0213010569;TESTE DE ELISA IGG P/ IDENTIFICACAO DE PARVOVIRUS (PARVOVIROSE)
0213010577;TESTE DE ELISA IGG P/ IDENTIFICACAO DO TOXOPLASMA GONDII (TOXOPLASMOSE)
0213010585;TESTE DE ELISA IGG P/ IDENTIFICACAO DO VIRUS DO SARAMPO
0213010593;TESTE DE ELISA IGM P/ IDENTIFICACAO DE SHIGUELAS (SHIGUELOSE)
0213010607;TESTE DE ELISA IGM P/ IDENTIFICACAO DO PARVOVIRUS (PARVOVIROSE)
0213010615;TESTE DE ELISA IGM P/ IDENTIFICACAO DO VIRUS DO SARAMPO
0213010623;TESTE DE ELISA P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA (ENSAIO IMUNOENZIMATICO)
0213010631;TESTE DE HEMAGLUTINACAO INDIRETA P/ IDENTIFICACAO DO VIRUS DA INFLUENZA
0213010640;TESTE DE HEMAGLUTINACAO P/ IDENTIFICACAO DA PASTEURELLA PESTIS (PESTE BUBONICA)
0213010658;TESTE DE HEMAGLUTINACAO P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA
0213010666;TESTE DE HEMAGLUTINACAO P/ IDENTIFICACAO DO VIRUS DA FEBRE DO NILO OCIDENTAL
0213010674;TESTE DE HIBRIDIZACAO IN SITU P/ IDENTIFICACAO DO VIRUS DA DENGUE
0213010682;TESTE DE NEUTRALIZACAO P/ IDENTIFICACAO DO VIRUS DA FEBRE AMARELA
0213010690;TESTE DE SENSIBILIDADE A DROGAS CONTRA A TUBERCULOSE
0213010704;TESTE DE SORONEUTRALIZACAO P/ IDENTIFICACAO DO VIRUS DA RAIVA
0213010712;TESTE DOT-ELISA P/ IDENTIFICACAO DA PASTEURELLA PESTIS (PESTE BUBONICA)
0213020017;ANALISE DE BACTERIAS PATOGENICAS EM AGUA
0213020025;ANALISE DE BACTERIAS PATOGENICAS EM SOLO
0213020033;ANALISE DE COLIFORMES E BACTERIAS HETEROTROFICAS EM AGUA
0213020041;ANALISE DE METAIS PESADOS
0213020050;ANALISE DE RESIDUOS DE PESTICIDAS
0213020068;ANALISE FISICO-QUIMICA DE AGUA
0213020076;CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE AGUA
0213020084;CULTURA P/ IDENTIFICACAO DO VIBRIO CHOLERAE EM ANALISE DE ALIMENTOS
0214010015;GLICEMIA CAPILAR
0214010023;PESQUISA DE CORPOS CETONICOS NA URINA
0214010031;PESQUISA DE GLICOSE NA URINA
0214010040;TESTE RAPIDO PARA DETECCAO DE HIV NA GESTANTE OU PAI/PARCEIRO
0214010058;TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HIV
0214010066;TESTE RÁPIDO DE GRAVIDEZ
0214010074;TESTE RÁPIDO PARA SÍFILIS
0214010082;TESTE RÁPIDO PARA SÍFILIS NA GESTANTE OU PAI/PARCEIRO
0214010090;TESTE RÁPIDO PARA DETECÇÃO DE HEPATITE C
0214010104;TESTE RÁPIDO PARA DETECÇÃO DE INFECÇÃO PELO HBV
0214010112;TESTE RÁPIDO PARA VÍRUS ZIKA IGG/IGM
0214010120;TESTE RÁPIDO PARA DENGUE IGG/IGM
0214010139;TESTE RÁPIDO PARA FEBRE CHIKUNGUNYA IGM
0301010013;CONSULTA AO PACIENTE CURADO DE TUBERCULOSE (TRATAMENTO SUPERVISIONADO)
0301010021;CONSULTA C/ IDENTIFICAÇÃO DE CASOS NOVOS DE TUBERCULOSE
0301010030;CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO BÁSICA (EXCETO MÉDICO)
0301010048;CONSULTA DE PROFISSIONAIS DE NIVEL SUPERIOR NA ATENÇÃO ESPECIALIZADA (EXCETO MÉDICO)
0301010056;CONSULTA MEDICA EM SAUDE DO TRABALHADOR
0301010064;CONSULTA MEDICA EM ATENÇAO BASICA
0301010072;CONSULTA MEDICA EM ATENÇÃO ESPECIALIZADA
0301010080;CONSULTA P/ ACOMPANHAMENTO DE CRESCIMENTO E DESENVOLVIMENTO (PUERICULTURA)
0301010099;CONSULTA PARA AVALIAÇÃO CLÍNICA DO FUMANTE
0301010102;CONSULTA PARA DIAGNÓSTICO/REAVALIAÇÃO DE GLAUCOMA (TONOMETRIA, FUNDOSCOPIA E CAMPIMETRIA)
0301010110;CONSULTA PRE-NATAL
0301010129;CONSULTA PUERPERAL
0301010137;CONSULTA/ATENDIMENTO DOMICILIAR
0301010145;PRIMEIRA CONSULTA DE PEDIATRIA AO RECEM-NASCIDO
0301010153;PRIMEIRA CONSULTA ODONTOLOGICA PROGRAMÁTICA
0301010161;CONSULTA/ATENDIMENTO DOMICILIAR NA ATENÇÃO ESPECIALIZADA
0301010170;CONSULTA/AVALIAÇÃO EM PACIENTE INTERNADO
0301010188;CONSULTA MÉDICA OFTALMOLOGICA ESPECIALIZADA - PROJETO OLHAR BRASIL
0301010196;AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 1-ANOMAILIAS CONGENITAS OU DE MANIFEST
0301010200;AVALIAÇÃO CLÍNICA PARA DIAGNÓSTICO DE DOENÇAS RARAS - EIXO I: 2- DEFICIENCIA INTELECTUAL
0301010218;AVALIAÇÃO CLÍNICA DE DIAGNÓSTICO DE DOENÇAS RARAS EIXO I: 3 - ERROS INATOS DE METABOLISSMO
0301010226;ACONSELHAMENTO GENÉTICO
0301010234;CONSULTA PRÉ-NATAL DO PARCEIRO
0301020019;ACOMPANHAMENTO DE PACIENTE PORTADOR DE AGRAVOS RELACIONADOS AO TRABALHO
0301020027;ACOMPANHAMENTO DE PACIENTE PORTADOR DE SEQUELAS RELACIONADAS AO TRABALHO
0301020035;EMISSÇO DE PARECER SOBRE NEXO CAUSAL
0301030014;SAMU 192:ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS
0301030022;ATENDIMENTO PRE-HOSPITALAR MOVEL (VEICULO DE INTERVENÇÃO RÁPIDA)
0301030030;ATENDIMENTO PRÉ-HOSPITALAR MOVEL - SAMU 192: SUPORTE AVANÇADO DE VIDA REALIZADO POR AVIÇO (AMBULÂNCI
0301030049;SAMU 192:ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO POR AEROMÉDICO
0301030057;SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO POR EMBARCAÇÃO
0301030065;ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE
0301030073;ATENDIMENTO PRE-HOSPITALAR MOVEL DE SALVAMENTO E RESGATE MEDICALIZADO
0301030081;ATENDIMENTO PRE-HOSPITALAR MOVEL PELO SAMU 192: SALVAMENTO E RESGATE (AMBULANCIA TIPO C)
0301030090;SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MÓVEL REALIZADO PELA EQUIPE DA UNIDADE DE SUPORTE AVANÇADO DE V
0301030103;SAMU 192: ATENDIMENTO PRÉ-HOSPITALAR MOVEL REALIZADO PELA EQUIPE DE SUPORTE BASICO DE VIDA TERRESTRE
0301030111;REGULACAO MEDICA DE URGENCIA DA CENTRAL SAMU 192 C/ ACIONAMENTO DE MULTIPLOS MEIOS
0301030120;SAMU 192: ENVIO DE UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA) E/OU AQUATICO (EQUIPE DE EMBA
0301030138;SAMU 192: ENVIO DE UNIDADE DE SUPORTE BASICO DE VIDA TERRESTRE (USB) E/OU AQUATICO (EQUIPE DE EMBARC
0301030146;SAMU 192: ATENDIMENTO DAS CHAMADAS RECEBIDAS PELA CENTRAL DE REGULAÇÃO DAS URGÊNCIAS COM ORIENTAÇÃO
0301030154;REMOCAO EM AMBULANCIA DE SIMPLES TRANSPORTE (AMBULANCIA TIPO A)
0301030162;TENDIMENTO PRE-HOSPITALAR MOVEL - SAMU 192: SUPORTE AVANCADO DE VIDA REALIZADO POR EMBARCACAO (AMBUL
0301030170;SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORTE AVANÇADO DE VIDA TERRESTRE (USA)
0301030189;SAMU 192: TRANSPORTE INTER-HOSPITALAR PELA UNIDADE DE SUPORET BASICO DE VIDA TERRESTRE (USB)
0301030197;ATENDIMENTO PRÉ-HOSPITALAR MÓVEL (MOTOLÂNCIA)
0301040010;ATENDIMENTO CLINICO PARA INDICAÇÃO E FORNECIMENTO DO DIAFRAGMA UTERINO
0301040028;ATENDIMENTO CLINICO P/ INDICACAO, FORNECIMENTO E INSERCAO DO DISPOSITIVO INTRA-UTERINO (DIU)
0301040036;TERAPIA EM GRUPO
0301040044;TERAPIA INDIVIDUAL
0301040052;ATENDIMENTO MULTIPROFISSIONAL PARA ATENÇÃO -S PESSOAS EM SITUAÇÃO DE VIOLÊNCIA SEXUAL
0301040060;COLETA DE VESTÍGIOS DE VIOLÊNCIA SEXUAL
0301040079;ESCUTA INICIAL / ORIENTAÇÃO (ACOLHIMENTO A DEMANDA ESPONT NEA)
